"ID","Sex","Age","Province","Treatment","Pigmentation_analysis","var","value"
12,"Male","20-30","Jiwaka","None",FALSE,"section_eccentricity_median",0.813459074528643
12,"Male","20-30","Jiwaka","None",FALSE,"section_eccentricity_mean",0.748623338686102
12,"Male","20-30","Jiwaka","None",FALSE,"section_eccentricity_sd",0.119003092980091
12,"Male","20-30","Jiwaka","None",FALSE,"section_min_median",39.8132380044969
12,"Male","20-30","Jiwaka","None",FALSE,"section_min_mean",44.8398546093218
12,"Male","20-30","Jiwaka","None",FALSE,"section_min_sd",9.11886897472297
12,"Male","20-30","Jiwaka","None",FALSE,"section_max_median",67.8669910933235
12,"Male","20-30","Jiwaka","None",FALSE,"section_max_mean",71.8081485571256
12,"Male","20-30","Jiwaka","None",FALSE,"section_max_sd",21.6840315258761
13,"Male","20-30","Western Highlands","None",TRUE,"curv_mean",0.525071145974305
13,"Male","20-30","Western Highlands","None",TRUE,"curv_median",0.531045183723023
13,"Male","20-30","Western Highlands","None",TRUE,"length_mean",4.50157415653281
13,"Male","20-30","Western Highlands","None",TRUE,"length_median",4.04739702320426
13,"Male","20-30","Western Highlands","None",TRUE,"hair_count",23
13,"Male","20-30","Western Highlands","None",TRUE,"section_area_median",5163.07266435986
13,"Male","20-30","Western Highlands","None",TRUE,"section_area_mean",4682.12041522491
13,"Male","20-30","Western Highlands","None",TRUE,"section_area_sd",915.510742261591
13,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_median",0.754595393714726
13,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_mean",0.706928544453218
13,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_sd",0.12509077822345
13,"Male","20-30","Western Highlands","None",TRUE,"section_min_median",65.5238098636388
13,"Male","20-30","Western Highlands","None",TRUE,"section_min_mean",64.1599699561055
13,"Male","20-30","Western Highlands","None",TRUE,"section_min_sd",10.5232551653401
13,"Male","20-30","Western Highlands","None",TRUE,"section_max_median",94.7793913982194
13,"Male","20-30","Western Highlands","None",TRUE,"section_max_mean",92.7908529992171
13,"Male","20-30","Western Highlands","None",TRUE,"section_max_sd",6.99103071614072
14,"Male","20-30","Western Highlands","None",TRUE,"curv_mean",0.364629770197762
14,"Male","20-30","Western Highlands","None",TRUE,"curv_median",0.371817810427232
14,"Male","20-30","Western Highlands","None",TRUE,"length_mean",3.53000585712379
14,"Male","20-30","Western Highlands","None",TRUE,"length_median",3.33862226029268
14,"Male","20-30","Western Highlands","None",TRUE,"hair_count",17
14,"Male","20-30","Western Highlands","None",TRUE,"section_area_median",4042.46366782007
14,"Male","20-30","Western Highlands","None",TRUE,"section_area_mean",3938.51349480969
14,"Male","20-30","Western Highlands","None",TRUE,"section_area_sd",613.229840972161
14,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_median",0.691588199842258
14,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_mean",0.704226948718237
14,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_sd",0.0995577927055603
14,"Male","20-30","Western Highlands","None",TRUE,"section_min_median",58.0655886112006
14,"Male","20-30","Western Highlands","None",TRUE,"section_min_mean",58.8769335173402
14,"Male","20-30","Western Highlands","None",TRUE,"section_min_sd",3.14053851168342
14,"Male","20-30","Western Highlands","None",TRUE,"section_max_median",80.777556647565
14,"Male","20-30","Western Highlands","None",TRUE,"section_max_mean",85.7060330936285
14,"Male","20-30","Western Highlands","None",TRUE,"section_max_sd",12.7174058123327
19,"Male","20-30","Southern Highlands","None",TRUE,"curv_mean",0.310048813954106
19,"Male","20-30","Southern Highlands","None",TRUE,"curv_median",0.371875390243082
19,"Male","20-30","Southern Highlands","None",TRUE,"length_mean",4.453356663582
19,"Male","20-30","Southern Highlands","None",TRUE,"length_median",4.22696665715563
19,"Male","20-30","Southern Highlands","None",TRUE,"hair_count",20
19,"Male","20-30","Southern Highlands","None",TRUE,"section_area_median",4552.80276816609
19,"Male","20-30","Southern Highlands","None",TRUE,"section_area_mean",4133.25951557093
19,"Male","20-30","Southern Highlands","None",TRUE,"section_area_sd",1439.53078698415
19,"Male","20-30","Southern Highlands","None",TRUE,"section_eccentricity_median",0.74974449123103
19,"Male","20-30","Southern Highlands","None",TRUE,"section_eccentricity_mean",0.749243865966956
19,"Male","20-30","Southern Highlands","None",TRUE,"section_eccentricity_sd",0.0440536159471899
19,"Male","20-30","Southern Highlands","None",TRUE,"section_min_median",61.9909863527886
19,"Male","20-30","Southern Highlands","None",TRUE,"section_min_mean",58.1084024577133
19,"Male","20-30","Southern Highlands","None",TRUE,"section_min_sd",10.3669368054024
19,"Male","20-30","Southern Highlands","None",TRUE,"section_max_median",93.6805444351576
19,"Male","20-30","Southern Highlands","None",TRUE,"section_max_mean",88.721453857551
19,"Male","20-30","Southern Highlands","None",TRUE,"section_max_sd",17.6589365636896
20,"Male","20-30","Western Highlands","None",TRUE,"curv_mean",0.297939272550676
20,"Male","20-30","Western Highlands","None",TRUE,"curv_median",0.295148420347845
20,"Male","20-30","Western Highlands","None",TRUE,"length_mean",3.70572950273789
20,"Male","20-30","Western Highlands","None",TRUE,"length_median",3.72389252675307
20,"Male","20-30","Western Highlands","None",TRUE,"hair_count",17
20,"Male","20-30","Western Highlands","None",TRUE,"section_area_median",4566.47750865052
20,"Male","20-30","Western Highlands","None",TRUE,"section_area_mean",4229.14878892734
20,"Male","20-30","Western Highlands","None",TRUE,"section_area_sd",642.01314465589
20,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_median",0.745211271391678
20,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_mean",0.633507244218222
20,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_sd",0.229114762624572
20,"Male","20-30","Western Highlands","None",TRUE,"section_min_median",63.5957391565447
20,"Male","20-30","Western Highlands","None",TRUE,"section_min_mean",62.8792451304629
20,"Male","20-30","Western Highlands","None",TRUE,"section_min_sd",9.60071272658571
20,"Male","20-30","Western Highlands","None",TRUE,"section_max_median",86.7768557832125
20,"Male","20-30","Western Highlands","None",TRUE,"section_max_mean",86.1937534892669
20,"Male","20-30","Western Highlands","None",TRUE,"section_max_sd",6.74344133869832
21,"Male","30-40","East Sepik","None",TRUE,"curv_mean",0.262590308862507
21,"Male","30-40","East Sepik","None",TRUE,"curv_median",0.326261325916483
21,"Male","30-40","East Sepik","None",TRUE,"length_mean",3.44937488941428
21,"Male","30-40","East Sepik","None",TRUE,"length_median",3.61243144930593
21,"Male","30-40","East Sepik","None",TRUE,"hair_count",32
21,"Male","30-40","East Sepik","None",TRUE,"section_area_median",3696.88581314879
21,"Male","30-40","East Sepik","None",TRUE,"section_area_mean",2839.08650519031
21,"Male","30-40","East Sepik","None",TRUE,"section_area_sd",1290.12499064748
21,"Male","30-40","East Sepik","None",TRUE,"section_eccentricity_median",0.704045304778079
21,"Male","30-40","East Sepik","None",TRUE,"section_eccentricity_mean",0.690915744906365
21,"Male","30-40","East Sepik","None",TRUE,"section_eccentricity_sd",0.069327287755982
21,"Male","30-40","East Sepik","None",TRUE,"section_min_median",56.8598518553229
21,"Male","30-40","East Sepik","None",TRUE,"section_min_mean",49.5235096782458
21,"Male","30-40","East Sepik","None",TRUE,"section_min_sd",11.7160715368652
21,"Male","30-40","East Sepik","None",TRUE,"section_max_median",80.5300397774081
21,"Male","30-40","East Sepik","None",TRUE,"section_max_mean",69.8067046788096
21,"Male","30-40","East Sepik","None",TRUE,"section_max_sd",18.8584546763087
22,"Male","20-30","Gulf","None",TRUE,"curv_mean",0.297184994465842
22,"Male","20-30","Gulf","None",TRUE,"curv_median",0.232867896280585
22,"Male","20-30","Gulf","None",TRUE,"length_mean",3.51229983829117
22,"Male","20-30","Gulf","None",TRUE,"length_median",3.45528764703553
22,"Male","20-30","Gulf","None",TRUE,"hair_count",9
22,"Male","20-30","Gulf","None",TRUE,"section_area_median",5715.70934256055
22,"Male","20-30","Gulf","None",TRUE,"section_area_mean",5486.16193771626
22,"Male","20-30","Gulf","None",TRUE,"section_area_sd",1698.885373997
22,"Male","20-30","Gulf","None",TRUE,"section_eccentricity_median",0.772146487719281
22,"Male","20-30","Gulf","None",TRUE,"section_eccentricity_mean",0.749775835907712
22,"Male","20-30","Gulf","None",TRUE,"section_eccentricity_sd",0.101785513757375
22,"Male","20-30","Gulf","None",TRUE,"section_min_median",65.6142657031788
22,"Male","20-30","Gulf","None",TRUE,"section_min_mean",66.5723230296262
22,"Male","20-30","Gulf","None",TRUE,"section_min_sd",11.6110874118878
22,"Male","20-30","Gulf","None",TRUE,"section_max_median",94.6448782426424
22,"Male","20-30","Gulf","None",TRUE,"section_max_mean",103.986479664172
22,"Male","20-30","Gulf","None",TRUE,"section_max_sd",19.8689434928064
23,"Male","20-30","Western Highlands","None",TRUE,"curv_mean",0.421146881036025
23,"Male","20-30","Western Highlands","None",TRUE,"curv_median",0.453026207360224
23,"Male","20-30","Western Highlands","None",TRUE,"length_mean",3.34300768379416
23,"Male","20-30","Western Highlands","None",TRUE,"length_median",3.28268780464706
23,"Male","20-30","Western Highlands","None",TRUE,"hair_count",26
23,"Male","20-30","Western Highlands","None",TRUE,"section_area_median",3459.04498269896
23,"Male","20-30","Western Highlands","None",TRUE,"section_area_mean",3368.72525951557
23,"Male","20-30","Western Highlands","None",TRUE,"section_area_sd",1346.34639544405
23,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_median",0.767081042483423
23,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_mean",0.748996555630072
23,"Male","20-30","Western Highlands","None",TRUE,"section_eccentricity_sd",0.101686526107443
23,"Male","20-30","Western Highlands","None",TRUE,"section_min_median",49.138172302401
23,"Male","20-30","Western Highlands","None",TRUE,"section_min_mean",52.2996507035385
23,"Male","20-30","Western Highlands","None",TRUE,"section_min_sd",14.3139613758218
23,"Male","20-30","Western Highlands","None",TRUE,"section_max_median",86.9908001970396
23,"Male","20-30","Western Highlands","None",TRUE,"section_max_mean",79.8912512550318
23,"Male","20-30","Western Highlands","None",TRUE,"section_max_sd",13.7415951479629
25,"Male","30-40","Enga","None",TRUE,"curv_mean",0.464121442592082
25,"Male","30-40","Enga","None",TRUE,"curv_median",0.472734381048998
25,"Male","30-40","Enga","None",TRUE,"length_mean",3.17430335539978
25,"Male","30-40","Enga","None",TRUE,"length_median",3.15255394457385
25,"Male","30-40","Enga","None",TRUE,"hair_count",35
25,"Male","30-40","Enga","None",TRUE,"section_area_median",3567.50173010381
25,"Male","30-40","Enga","None",TRUE,"section_area_mean",3331.65397923875
25,"Male","30-40","Enga","None",TRUE,"section_area_sd",384.566834186593
25,"Male","30-40","Enga","None",TRUE,"section_eccentricity_median",0.800660546751943
25,"Male","30-40","Enga","None",TRUE,"section_eccentricity_mean",0.803010760802776
25,"Male","30-40","Enga","None",TRUE,"section_eccentricity_sd",0.0169405491306418
25,"Male","30-40","Enga","None",TRUE,"section_min_median",51.1091082011174
25,"Male","30-40","Enga","None",TRUE,"section_min_mean",50.2391440720998
25,"Male","30-40","Enga","None",TRUE,"section_min_sd",2.60361559527268
25,"Male","30-40","Enga","None",TRUE,"section_max_median",85.6557866169099
25,"Male","30-40","Enga","None",TRUE,"section_max_mean",84.5122975474719
25,"Male","30-40","Enga","None",TRUE,"section_max_sd",6.06756376294175
27,"Female","20-30","Central Province","None",TRUE,"curv_mean",0.118894022234945
27,"Female","20-30","Central Province","None",TRUE,"curv_median",0.11375031662022
27,"Female","20-30","Central Province","None",TRUE,"length_mean",3.23435015567596
