"ID","Sex","Age","Province","Treatment","Pigmentation_analysis","curv_mean","curv_median","length_mean","length_median","hair_count","section_area_median","section_area_mean","section_area_sd","section_eccentricity_median","section_eccentricity_mean","section_eccentricity_sd","section_min_median","section_min_mean","section_min_sd","section_max_median","section_max_mean","section_max_sd"
71,"Female","20-30","Milne Bay","None",TRUE,0.172624718765722,0.172642594073276,3.06553432134636,3.11855579638905,11,5223.41868512111,5143.56262975779,2058.21165800254,0.764606365778431,0.761833792009532,0.0460802321779097,69.5828703288238,64.1640769935717,13.6526701232688,95.9147525075217,99.9619985576471,23.6075465611988
72,"Male","50-60","Milne Bay","None",FALSE,0.554032835282025,0.558134762650148,3.25945762155216,3.32749245284686,20,4021.75778546713,4395.79238754325,1146.62517401617,0.743071168563096,0.743003290136494,0.0392933313264938,58.6287168053086,60.9222856070445,8.88320808791548,87.6085330538703,91.2534211043157,10.66677390123
73,"Male","20-30","Gulf","None",TRUE,0.174309467972556,0.11616068569407,3.1281282431437,3.60557775186787,22,5505.21799307958,5241.2124567474,470.063170703486,0.727680813426222,0.751297818254956,0.0557238776931283,65.7652519765795,66.4071413321668,4.92626072783833,101.330855885528,101.614163669628,5.69602085496247
74,"Male","40-50","Madang/Southern Highlands","None",FALSE,0.446690206695756,0.484255231884199,4.20965368981257,3.95863209180468,19,4120.69204152249,4754.75709342561,1135.20859827508,0.817302025467439,0.825405411585896,0.0267882561573709,56.3995332317464,58.1065975926106,6.11742269046014,96.121330291627,103.68872000256,14.1797936003678
75,"Male","20-30","East New Britain","None",FALSE,0.373983478900033,0.324122900041211,3.7898141962496,3.36436914557942,21,3942.03460207612,3876.28512110727,329.326379210311,0.848737027490675,0.847528869323478,0.0106317418835515,52.450114762568,51.3582848082865,2.59014674482847,95.2839299500113,96.8203680296322,3.94185438617562
76,"Male","20-30","Enga","None",FALSE,0.530306811567211,0.535457143978816,3.21246233121626,2.89686614796154,14,7172.37370242215,7160.71418685121,361.553716864476,0.791470795938279,0.796896893299114,0.0116031763169426,75.058215791391,74.455952310306,1.27765638586736,121.952850499391,123.385846158973,4.65631295517608
77,"Female","20-30","East New Britain","None",TRUE,0.246873579423784,0.270640616923779,3.55473720080725,3.37516953143134,28,3484.51211072664,3870.2062283737,958.491988628085,0.786792320116087,0.794691590907095,0.0296419398358633,51.3938284042331,54.5624840562859,6.96880934290709,89.5177204187887,90.2364412337509,10.6080161557354
78,"Male","20-30","New Ireland","None",TRUE,0.188962444261064,0.201372655339616,6.32570557474291,3.64051917875163,28,4299.40484429066,4654.02906574394,1269.12593215138,0.798068969594007,0.804146732101567,0.0247815535471361,58.8989454265426,58.9331888899815,6.77116157362613,93.5576127311821,100.000161658755,16.4283128306173
79,"Female","20-30","Central Province","None",FALSE,0.353071638333469,0.345819687340098,3.51493236153971,3.51778415697436,20,5058.71280276817,5049.63321799308,690.462110218542,0.786674827627184,0.758346316035358,0.085037789094533,63.9850251110513,63.9551170331427,3.95376147504329,109.719894976819,101.256633369862,13.1031204884649
80,"Female","20-30","Madang/Jiwaka","Colour/Bleach",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Male","20-30","Enga","None",FALSE,0.322480164870645,0.315131440174842,3.62989665839085,3.41390566270626,25,4518.64359861592,4261.02698961938,611.60499993066,0.697079906616309,0.645581186996099,0.16792652913804,65.5566967458767,63.3795604996887,7.40917656194687,86.4873949797621,85.9389767674759,7.42141144360225
84,"Male","20-30","Bougainville","None",TRUE,0.349498525287434,0.358486609581966,3.37233741364031,3.03357114346519,29,4155.57093425606,4347.29411764706,580.958618794382,0.791162673209987,0.791976098603818,0.0206685642372559,57.4053337581351,58.1882976026658,4.43642622897455,96.133695579224,95.4240644281186,5.68337282947612
85,"Male","20-30","Western Highlands","None",TRUE,0.555042482455221,0.574598084735852,4.10948254686688,3.54821535415252,23,3962.57439446367,3842.76816608997,734.374725220157,0.838241194833769,0.821169813804601,0.0875578840602155,48.9316213305013,52.3163253409113,9.303563245114,90.6744845106913,94.6730219475841,8.91580583268027
86,"Female","60-70","New Ireland","None",TRUE,0.375824796126814,0.426374751940145,3.41867590350539,3.0844882977764,31,6514.82352941176,6254.83737024221,820.6991626508,0.806888673309562,0.704456074662664,0.172988133086176,69.5009183780405,73.0651005389956,9.01757657829294,114.679212462776,110.650456331801,16.1405548398567
87,"Male","20-30","Enga","None",FALSE,0.412261575338125,0.295355611796828,4.0023613062414,3.21716842439458,21,5758.94809688581,5444.7169550173,813.082189919375,0.800554084765337,0.774318344637511,0.061093870255539,66.9309011283784,65.960990763964,6.63212190287823,100.3654988931,105.614866141256,9.91147587311431
